datum,pohlavi_kod,pohlavi,vekova_skupina_kod,vekova_skupina,pocet_ukoncenych_pripadu_dpn,pocet_prostonanych_dnu,prumerna_delka_trvani_jednoho_pripadu_dpn
2015-03-31,F,Žena,0-20,do 20 let,1960,36406,18.57
2015-03-31,F,Žena,20-29,20 - 29 let,49538,1515946,30.6
2015-03-31,F,Žena,30-39,30 - 39 let,59926,2234054,37.28
2015-03-31,F,Žena,40-49,40 - 49 let,70976,2627237,37.02
2015-03-31,F,Žena,50-59,50 - 59 let,67845,3128975,46.12
2015-03-31,F,Žena,60+,60 a více let,9441,364764,38.64
2015-03-31,M,Muž,0-20,do 20 let,2819,41668,14.78
2015-03-31,M,Muž,20-29,20 - 29 let,55359,1171270,21.16
2015-03-31,M,Muž,30-39,30 - 39 let,57997,1665300,28.71
2015-03-31,M,Muž,40-49,40 - 49 let,50295,1877234,37.32
2015-03-31,M,Muž,50-59,50 - 59 let,47812,2439124,51.01
2015-03-31,M,Muž,60+,60 a více let,18098,1166254,64.44
2015-03-31,T,Celkem,0-20,do 20 let,4779,78074,16.34
2015-03-31,T,Celkem,20-29,20 - 29 let,104897,2687216,25.62
2015-03-31,T,Celkem,30-39,30 - 39 let,117923,3899354,33.07
2015-03-31,T,Celkem,40-49,40 - 49 let,121271,4504471,37.14
2015-03-31,T,Celkem,50-59,50 - 59 let,115657,5568099,48.14
2015-03-31,T,Celkem,60+,60 a více let,27539,1531018,55.59
2015-06-30,F,Žena,0-20,do 20 let,3539,69529,19.65
2015-06-30,F,Žena,20-29,20 - 29 let,88735,2921739,32.93
2015-06-30,F,Žena,30-39,30 - 39 let,107113,4328727,40.41
2015-06-30,F,Žena,40-49,40 - 49 let,123493,5014775,40.61
2015-06-30,F,Žena,50-59,50 - 59 let,117751,6011667,51.05
2015-06-30,F,Žena,60+,60 a více let,16674,742659,44.54
2015-06-30,M,Muž,0-20,do 20 let,5123,76009,14.84
2015-06-30,M,Muž,20-29,20 - 29 let,100690,2173205,21.58
2015-06-30,M,Muž,30-39,30 - 39 let,100773,3028510,30.05
2015-06-30,M,Muž,40-49,40 - 49 let,87011,3500570,40.23
2015-06-30,M,Muž,50-59,50 - 59 let,82919,4620352,55.72
2015-06-30,M,Muž,60+,60 a více let,32331,2298748,71.1
2015-06-30,T,Celkem,0-20,do 20 let,8662,145538,16.8
2015-06-30,T,Celkem,20-29,20 - 29 let,189425,5094944,26.9
2015-06-30,T,Celkem,30-39,30 - 39 let,207886,7357237,35.39
2015-06-30,T,Celkem,40-49,40 - 49 let,210504,8515345,40.45
2015-06-30,T,Celkem,50-59,50 - 59 let,200670,10632019,52.98
2015-06-30,T,Celkem,60+,60 a více let,49005,3041407,62.06
2015-09-30,F,Žena,0-20,do 20 let,5090,100830,19.81
2015-09-30,F,Žena,20-29,20 - 29 let,121267,4149814,34.22
2015-09-30,F,Žena,30-39,30 - 39 let,140609,6035221,42.92
2015-09-30,F,Žena,40-49,40 - 49 let,158020,6885950,43.58
2015-09-30,F,Žena,50-59,50 - 59 let,149772,8294838,55.38
2015-09-30,F,Žena,60+,60 a více let,21213,1020440,48.1
2015-09-30,M,Muž,0-20,do 20 let,7514,111106,14.79
2015-09-30,M,Muž,20-29,20 - 29 let,141700,3060194,21.6
2015-09-30,M,Muž,30-39,30 - 39 let,135015,4139418,30.66
2015-09-30,M,Muž,40-49,40 - 49 let,114902,4807879,41.84
2015-09-30,M,Muž,50-59,50 - 59 let,108239,6334478,58.52
2015-09-30,M,Muž,60+,60 a více let,42816,3242180,75.72
2015-09-30,T,Celkem,0-20,do 20 let,12604,211936,16.82
2015-09-30,T,Celkem,20-29,20 - 29 let,262967,7210008,27.42
