ARI,"Relativní nemocnost na 100000 obyvatel - Morbidity per 100000
population",,,,,
,"0 - 5 let/
yrs","6 - 14
let/yrs","15 - 24
let/yrs","25 - 64
let/yrs","65+ let/
yrs","Celkem /
Total"
"Česká republika - the Czech Republic
Změna - Change [%]
Komplikace - Complication [%]","1499
-2,03
1,31","932
2,31
2,51","893
-0,67
0,99","302
-0,98
0,72","253
-3,8
0,78","571
-0,7
1,28"
ILI,"Relativní nemocnost na 100000 obyvatel - Morbidity per 100000
population",,,,,
,"0 - 5
let/yrs","6 - 14
let/yrs","15 - 24
let/yrs","25 - 64
let/yrs","65+ let/
yrs","Celkem /
Total"
"Česká republika - the Czech Republic
Změna - Change [%]","9
-10","7
-30","6
-33,33","1
0","1
-50","3
-25"
ARI,"Relativní nemocnost na 100000 obyvatel - Morbidity per 100000
population",,,,,
,"0 - 5 let/
yrs","6 - 14
let/yrs","15 - 24
let/yrs","25 - 64
let/yrs","65+ let/
yrs","Celkem /
Total"
"Česká republika - the Czech Republic
Změna - Change [%]
Komplikace - Complication [%]","1530
-10,94
1,68","911
1,56
2,74","899
3,45
1,19","305
5,17
0,71","263
3,95
0,7","575
-0,52
1,44"
ILI,"Relativní nemocnost na 100000 obyvatel - Morbidity per 100000
population",,,,,
,"0 - 5 let/
yrs","6 - 14
let/yrs","15 - 24
let/yrs","25 - 64
let/yrs","65+
let/yrs","Celkem /
Total"
"Česká republika - the Czech Republic
Změna - Change [%]","10
11,11","10
66,67","9
28,57","1
0","2
0","4
33,33"
ARI,"Relativní nemocnost na 100000 obyvatel - Morbidity per 100000
population",,,,,
,"0 - 5
let/yrs","6 - 14
let/yrs","15 - 24
let/yrs","25 - 64
let/yrs","65+ let/
yrs","Celkem /
Total"
"Česká republika - the Czech Republic
Změna - Change [%]
Komplikace - Complication [%]","1718
-16,4
0,92","897
-26,29
1,56","869
-22,96
0,5","290
-16,91
0,54","253
-17,05
0,4","578
-20,06
0,83"
ILI,"Relativní nemocnost na 100000 obyvatel - Morbidity per 100000
population",,,,,
